STANDARD,STRAND_TITLE,FULL_CODE,DESCRIPTION
S1,Connections to Language & Literacy,NCES.WL.NL.CLL.1,Use the language to engage in interpersonal communication.
S1,Connections to Language & Literacy,NCES.WL.NL.CLL.1.1,"Use single words and simple, memorized phrases to express needs, preferences, and feelings."
